moviename,charactername,time,totaltime,release,chrono
Ant-Man,Adrian Toomes,0,19,12,13
Ant-Man,Agent Phil Coulson,0,18.75,12,13
Ant-Man,Aldrich Killian,0,12,12,13
Ant-Man,Alexander Pierce,0,12.75,12,13
Ant-Man,Algrim,0,6.25,12,13
Ant-Man,Ancient One,0,17.25,12,13
Ant-Man,Arnim Zola,0,10.5,12,13
Ant-Man,Ayesha,0,3.5,12,13
Ant-Man,Baron Mordo,0,17.75,12,13
Ant-Man,Betty Ross,0,27,12,13
Ant-Man,Bruce Banner,0,112.75,12,13
Ant-Man,Bucky Barnes,0.25,43.5,12,13
Ant-Man,Cassandra Lang,4.5,4.5,12,13
Ant-Man,Chester Phillips,0,9.25,12,13
Ant-Man,Christine Everhart,0,5.25,12,13
Ant-Man,Christine Palmer,0,12.75,12,13
Ant-Man,Clint Barton,0,32.5,12,13
Ant-Man,Col. James Rhodes,0,46.5,12,13
Ant-Man,Crossbones,0,8.5,12,13
Ant-Man,Darcy Lewis,0,17.25,12,13
Ant-Man,Darren Cross,14.5,14.5,12,13
Ant-Man,Dr. Abraham Erskine,0,8.5,12,13
Ant-Man,Dr. Helen Cho,0,3.25,12,13
Ant-Man,Dr. Stephen Strange,0,76.25,12,13
Ant-Man,Drax the Destroyer,0,34.5,12,13
Ant-Man,Ego the Living Planet,0,17.5,12,13
Ant-Man,Emil Blonsky,0,18.5,12,13
Ant-Man,Erik Selvig,0,24,12,13
Ant-Man,Fandral,0,9.5,12,13
Ant-Man,Frigga,0,6,12,13
Ant-Man,Gamora,0,55,12,13
Ant-Man,Gen. Thaddeus Ross,0,17.75,12,13
Ant-Man,Grandmaster,0,6,12,13
Ant-Man,Groot,0,29.5,12,13
Ant-Man,Hank Pym,24.75,24.75,12,13
Ant-Man,Happy Hogan,0,17.75,12,13
Ant-Man,Harley Keener,0,6.25,12,13
Ant-Man,Heimdall,0,13.5,12,13
Ant-Man,Hela,0,12.25,12,13
Ant-Man,Ho Yinsen,0,11,12,13
Ant-Man,Hogun,0,8.25,12,13
Ant-Man,Hope van Dyne,15.75,15.75,12,13
Ant-Man,Howard Stark,1,8.75,12,13
Ant-Man,Ivan Vanko,0,20.75,12,13
Ant-Man,Jane Foster,0,46,12,13
Ant-Man,Jasper Sitwell,0,5.5,12,13
Ant-Man,Johann Schmidt,0,15.5,12,13
Ant-Man,Justin Hammer,0,16.5,12,13
Ant-Man,Kaecilius,0,12.75,12,13
Ant-Man,King Laufey,0,3.5,12,13
Ant-Man,Korg,0,3.75,12,13
Ant-Man,Kraglin,0,6.5,12,13
Ant-Man,Laura Barton,0,3.75,12,13
Ant-Man,Liz Allan,0,9.75,12,13
Ant-Man,Loki,0,75.25,12,13
Ant-Man,Luis,7,7,12,13
Ant-Man,Malekith the Accursed,0,8.75,12,13
Ant-Man,Mantis,0,11,12,13
Ant-Man,Maria Hill,0,11.75,12,13
Ant-Man,May Parker,0,5,12,13
Ant-Man,Maya Hansen,0,8.75,12,13
Ant-Man,Natasha Romanoff,0,89,12,13
Ant-Man,Nebula,0,15,12,13
Ant-Man,Ned Leeds,0,13.75,12,13
Ant-Man,Nick Fury,0,43.75,12,13
Ant-Man,Obadiah Stane,0,22,12,13
Ant-Man,Odin,0,23.75,12,13
Ant-Man,Paxton,4.5,4.5,12,13
Ant-Man,Peggy Carter,0.75,20.5,12,13
Ant-Man,Pepper Potts,0,64,12,13
Ant-Man,Peter Parker,0,84.75,12,13
Ant-Man,Peter Quill,0,82.5,12,13
Ant-Man,Pietro Maximoff,0,10.25,12,13
Ant-Man,Raza,0,6,12,13
Ant-Man,Rocket Raccoon,0,39.25,12,13
Ant-Man,Ronan the Accuser,0,7.75,12,13
Ant-Man,Sam Wilson,2.75,28,12,13
Ant-Man,Samuel Sterns,0,7.5,12,13
Ant-Man,Savin,0,6,12,13
Ant-Man,Scott Lang,50.5,56,12,13
Ant-Man,Sharon Carter,0,7.5,12,13
Ant-Man,Sif,0,11.5,12,13
Ant-Man,Skurge,0,6.75,12,13
Ant-Man,Steve Rogers,0.5,205.25,12,13
Ant-Man,T'Challa,0,11.5,12,13
Ant-Man,Taserface,0,4.25,12,13
Ant-Man,The Collector,0,3.75,12,13
Ant-Man,Thor,0,167.25,12,13
Ant-Man,Tinkerer,0,3.75,12,13
Ant-Man,Tony Stark,0,306,12,13
Ant-Man,Trevor Slattery,0,7.5,12,13
Ant-Man,Ultron,0,16.75,12,13
Ant-Man,Valkyrie,0,15.5,12,13
Ant-Man,Vision,0,13.5,12,13
Ant-Man,Volstagg,0,10.25,12,13
Ant-Man,Wanda Maximoff,0,23,12,13
Ant-Man,Wong,0,7,12,13
Ant-Man,Yondu Udonta,0,22.25,12,13
Ant-Man,Zemo,0,10.5,12,13
Avengers: Age Of Ultron,Adrian Toomes,0,19,11,12
Avengers: Age Of Ultron,Agent Phil Coulson,0,18.75,11,12
Avengers: Age Of Ultron,Aldrich Killian,0,12,11,12
Avengers: Age Of Ultron,Alexander Pierce,0,12.75,11,12
Avengers: Age Of Ultron,Algrim,0,6.25,11,12
Avengers: Age Of Ultron,Ancient One,0,17.25,11,12
Avengers: Age Of Ultron,Arnim Zola,0,10.5,11,12
Avengers: Age Of Ultron,Ayesha,0,3.5,11,12
Avengers: Age Of Ultron,Baron Mordo,0,17.75,11,12
Avengers: Age Of Ultron,Betty Ross,0,27,11,12
Avengers: Age Of Ultron,Bruce Banner,20,112.75,11,12
Avengers: Age Of Ultron,Bucky Barnes,0,43.5,11,12
Avengers: Age Of Ultron,Cassandra Lang,0,4.5,11,12
Avengers: Age Of Ultron,Chester Phillips,0,9.25,11,12
Avengers: Age Of Ultron,Christine Everhart,0,5.25,11,12
Avengers: Age Of Ultron,Christine Palmer,0,12.75,11,12
Avengers: Age Of Ultron,Clint Barton,15,32.5,11,12
Avengers: Age Of Ultron,Col. James Rhodes,2.5,46.5,11,12
Avengers: Age Of Ultron,Crossbones,0,8.5,11,12
Avengers: Age Of Ultron,Darcy Lewis,0,17.25,11,12
Avengers: Age Of Ultron,Darren Cross,0,14.5,11,12
Avengers: Age Of Ultron,Dr. Abraham Erskine,0,8.5,11,12
Avengers: Age Of Ultron,Dr. Helen Cho,3.25,3.25,11,12
Avengers: Age Of Ultron,Dr. Stephen Strange,0,76.25,11,12
Avengers: Age Of Ultron,Drax the Destroyer,0,34.5,11,12
Avengers: Age Of Ultron,Ego the Living Planet,0,17.5,11,12
Avengers: Age Of Ultron,Emil Blonsky,0,18.5,11,12
Avengers: Age Of Ultron,Erik Selvig,0.75,24,11,12
Avengers: Age Of Ultron,Fandral,0,9.5,11,12
Avengers: Age Of Ultron,Frigga,0,6,11,12
Avengers: Age Of Ultron,Gamora,0,55,11,12
Avengers: Age Of Ultron,Gen. Thaddeus Ross,0,17.75,11,12
Avengers: Age Of Ultron,Grandmaster,0,6,11,12
Avengers: Age Of Ultron,Groot,0,29.5,11,12
Avengers: Age Of Ultron,Hank Pym,0,24.75,11,12
Avengers: Age Of Ultron,Happy Hogan,0,17.75,11,12
Avengers: Age Of Ultron,Harley Keener,0,6.25,11,12
Avengers: Age Of Ultron,Heimdall,0.5,13.5,11,12
Avengers: Age Of Ultron,Hela,0,12.25,11,12
Avengers: Age Of Ultron,Ho Yinsen,0,11,11,12
Avengers: Age Of Ultron,Hogun,0,8.25,11,12
Avengers: Age Of Ultron,Hope van Dyne,0,15.75,11,12
Avengers: Age Of Ultron,Howard Stark,0,8.75,11,12
Avengers: Age Of Ultron,Ivan Vanko,0,20.75,11,12
Avengers: Age Of Ultron,Jane Foster,0,46,11,12
Avengers: Age Of Ultron,Jasper Sitwell,0,5.5,11,12
Avengers: Age Of Ultron,Johann Schmidt,0,15.5,11,12
Avengers: Age Of Ultron,Justin Hammer,0,16.5,11,12
Avengers: Age Of Ultron,Kaecilius,0,12.75,11,12
Avengers: Age Of Ultron,King Laufey,0,3.5,11,12
Avengers: Age Of Ultron,Korg,0,3.75,11,12
Avengers: Age Of Ultron,Kraglin,0,6.5,11,12
Avengers: Age Of Ultron,Laura Barton,3.75,3.75,11,12
Avengers: Age Of Ultron,Liz Allan,0,9.75,11,12
Avengers: Age Of Ultron,Loki,0,75.25,11,12
Avengers: Age Of Ultron,Luis,0,7,11,12
Avengers: Age Of Ultron,Malekith the Accursed,0,8.75,11,12
Avengers: Age Of Ultron,Mantis,0,11,11,12
Avengers: Age Of Ultron,Maria Hill,3,11.75,11,12
Avengers: Age Of Ultron,May Parker,0,5,11,12
Avengers: Age Of Ultron,Maya Hansen,0,8.75,11,12
Avengers: Age Of Ultron,Natasha Romanoff,18,89,11,12
Avengers: Age Of Ultron,Nebula,0,15,11,12
Avengers: Age Of Ultron,Ned Leeds,0,13.75,11,12
Avengers: Age Of Ultron,Nick Fury,3,43.75,11,12
Avengers: Age Of Ultron,Obadiah Stane,0,22,11,12
